Gene Symbol	KO1	KO2	KO3	KO4	KO5	WT1	WT2	WT3	WT4	WT5
Hbb-b1	1386.9	1503.1	308.6	1892.9	444.1	343.4	407.9	1913.9	941.5	354
Cul4b	26.6	33.2	11.7	34.9	18.8	9.9	8.8	15.5	10.6	7.2
Rnf214	109.1	59.3	86.6	72.3	120.3	33.6	46.7	53.6	51.2	47.1
Stmp1	620.8	535.2	449.1	578	215.7	175.3	213.9	758.6	236.7	254.1
Ndufaf8	87.5	68.5	63.3	107.1	92.9	37.7	49	84.8	45.7	60.6
H2-K1	276.1	575.8	232.6	890.5	626.5	201.2	496.8	656.9	270.2	270.1
Hnrnpa1	67	57.8	54.6	61.3	62.1	25.2	55.3	40.5	32.5	66.8
Cdk9	52.9	31.8	20.4	69.4	23.4	13.8	21.4	18	15.6	67.5
2900026A02Rik	49.1	57.2	45.9	67.7	53.4	25	26.3	97.1	28.7	68.2
Top1	496.5	415.7	364.5	618	546.4	240.9	387.6	320.3	262.8	407.6
Hba	1536.8	1768.4	509.8	2094.2	830.8	795.8	778.7	1819.1	883.5	607.7
Cnot3	182	216.2	338.4	535.2	288.7	129.9	184	198.2	166	197.3
Tstd1	547.6	821.4	369.8	865.8	378.3	143.3	526.4	683.8	166	310.8
Rplp1	969.6	839.8	746.4	1269.6	911.9	361.2	604.1	867.2	531.8	784.1
Hdac1	177.3	145.1	130.2	205.7	150	74.3	118.7	106.4	90.2	121.4
Ubtf	765.1	616.2	512.2	803.4	700.4	323	455.6	483.1	364.2	580.5
Ppig	193.3	160.6	112.6	222.7	173	89.6	120.9	101.1	79.8	132.8
Vps53	126.7	116.6	47.5	98.5	85.7	72.2	41.7	58.1	84.7	50.4
Ssu72	36.7	32.2	12.9	34.7	21.8	11.7	19.6	23.4	15.8	19.3
Srebf1	178.5	168	233.3	273.6	330.9	102.8	135.1	168.7	149.4	142.7
Smco4	205.8	177.6	156	287.7	211	107	144.2	221.5	121.1	162.9
Msr1	378	235.1	245.6	354.9	400.9	169.9	203	218.8	163.8	307.9
Map1s	21.9	20.7	17.6	24.4	24.2	10.8	18	15.2	12.6	23.4
Cd302	286.7	327.6	234.2	360.1	216.3	137.1	198.5	417.2	193	174.9
Trim56	130.1	132.2	105.5	215.2	130.9	65.5	92.8	99.6	74.5	110.6
Dnajb4	385.3	375.6	445.5	561.6	462.3	247.1	316.1	343.3	297.2	418.9
Ugt1a5	92.9	93.2	124.3	191.5	163.2	95.8	82.5	110.4	97.2	85.3
Crb3	88.1	74.8	61	141.1	113.3	41.7	60.3	86.8	56.7	73.3
	79.3	64.1	61.5	96.9	80.7	35.3	56.6	102	44.6	64.6
FLG2	226.8	91.6	65	169.4	151.3	85.3	99.1	258.5	78.3	71.8
Yy1	51.6	43	36.1	74.7	35	21.4	49.1	80.9	21.6	25.7
Cyp20a1	31.7	29	20.6	41.5	30.7	16.2	23.7	20.1	19.8	21.5
Ndufv3	1536.2	1578.4	1288.4	2256.5	1188.5	642.3	879.8	1642.3	973.1	994.5
Gapvd1	8.8	9.5	9.2	17.4	14	5.9	10.5	8.5	6.7	12.3
Gcsh	2230.6	1278.4	1701.9	2956.8	2787.2	1261.7	1581.7	2362.6	1435.8	1882.7
Sh3d21	1175.5	1341.7	823.3	1725.7	1000.3	666.5	870.1	2337.1	696.1	788
Ube2j1	541.2	405.7	335.4	677.2	457.9	233.8	386.1	365.7	270.2	369.1
Sdhaf4	525.2	480.9	408.7	684.4	556	281.9	362.7	543	352.9	420.3
Eif5b	1674.3	1436	1343.7	1950.2	1916	893.2	1304	1291.3	1031.6	1652.2
Dync1i2	520.7	569.2	477.5	641.2	358	286.2	336.2	681.3	353.7	337
Vcf1	38	35.7	32.4	42	41.1	22.9	27.1	30.2	21.4	35.6
Srbd1	32	28.9	25.8	34.8	29.7	15.8	22.1	29.4	16.9	22.1
Wars1	314.4	200	188.6	259.2	280.3	124.5	188.6	134.4	142.4	186
Tomm34	236	227.3	164.1	295.8	222.3	116.3	159.2	220	149.2	179.6
Dpysl2	80.2	73.4	71.6	142.1	60.2	61	57.5	65.7	62.4	48.3
Rbm15b	91	73.1	65	96.4	85.5	45.3	64.4	62.1	50.9	79.3
Cnpy2	1944.4	1980.1	1455.5	2418.7	1929.1	1098.2	1442.6	2354.2	1283.4	1488.4
Mcfd2	2298.9	2226.2	1726.7	2674.8	2278.1	1138.7	1651.6	2391.7	1462.9	1962.2
Col1a2	72.1	78.3	34	62.2	67.8	38.8	48.3	61.1	38.9	53.2
Cmc2	322.7	324.7	225	395.9	269.2	171.8	225.7	333	190.2	226
Cnbp	62.1	69.5	47	77.7	70	36.7	47.6	53.7	39.1	52.8
Limd2	36.5	41.8	23.6	45	41.4	20.6	27.9	42.8	19.5	29.7
Cbx1	497.8	551.2	380.2	600.4	412.3	284.2	354.5	632.3	322.8	366.3
Sdhaf2	606.3	422.9	322.1	675.4	486.9	281.1	349.5	511.5	260.7	408.5
Hbb-b2	649.3	756.9	369.7	841.9	500	371.2	445.9	812.1	556.9	429.8
G3bp2	1492.6	1329.4	1232	2008.8	1670.7	772.6	1145.7	1276.7	977.3	1560.6
Cd36	1774.4	1455.8	1605.8	3203.1	1652	996.5	1122.4	1635.1	1230.6	1898.8
Atrx	61.9	42.4	47.3	62.8	86.2	29.2	41.9	49.7	33.6	41.9
Slco1a4	132.6	179.4	129.8	175.6	145.2	81.7	128.5	220.9	80	95.7
Marcks	1260.9	815.9	415.2	1289.5	572.4	510.5	426.1	817.5	434.1	498.4
Casc3	118.1	93.3	75.2	133.4	91.3	49.8	63.6	102.3	63.1	76.9
Serpinb1a	132.6	100.6	89.9	95.6	107.5	72.1	79.2	83.6	72.2	153
Ell	30	42.9	34.5	46.3	37.2	22.4	27.2	35.5	24.7	34.3
Zc3h14	495.8	467.8	302.9	568.2	421.5	230.4	302.7	393.2	300.7	401.1
Cnpy3	963.3	891.9	690.1	1219.1	923.2	524.6	712.8	1111.9	601.5	751.3
Sgpp1	95.9	73.3	66.5	115	106.7	55.9	76.4	65.3	59.3	98.1
Znf598	249.4	295	241.8	348.7	286.1	155.8	230.6	235.9	175.2	278.8
Ubxn4	794.7	763.3	601.5	931.8	873.3	454.3	742.9	621.6	533	751.2
Csrp1	24.8	29	17.2	28.9	18.6	17	15.8	25	16.6	15.3
Hnrnpd	169.6	191.2	115.5	193	133.2	92	175.3	297.8	101.5	106.9
Agmat	2278.5	3129	2411.5	3081.1	2123.4	1506.4	1807.3	2837.6	1728.1	1962.8
Tlcd2	239.7	174.4	228.1	294.3	251.4	126.3	189.1	169.7	174.9	250.5
Coro1c	260.3	274	181.9	340.7	242.6	171.2	197.5	169	171.3	241.5
Calu	491.2	513.9	378.6	641.4	444.1	249.7	384.1	622.5	334.8	316.2
Trmt1l	22.1	16.8	15.9	26.3	23.5	9.4	17	19.3	12.2	17.5
Golga5	340.9	340.8	264.5	446.7	323.8	182.2	250.6	451.8	228.2	273.1
Sod2	6392.5	7017.5	5045.9	7932.1	4929.8	3821.8	5073.5	8200.5	4804.4	4263.8
Acin1	98.4	100.9	74.7	134.5	88.1	55.9	73.1	110	59.3	80.4
Esf1	73.7	79	67.7	97.7	81.1	35.9	56.2	88.1	55.6	68.6
	796.3	957	735.8	1102.5	971.5	512.1	681.4	1150.4	629.9	850.9
Tacc2	24.6	25.3	15.4	36	26.2	14.8	19.7	26.8	16.6	28.5
Cdc5l	329	319.9	231	394.6	315	189.9	247.6	366.5	222.4	268.9
Bcap31	6077.7	5772.9	5593.4	7590.4	5172.7	3412	4999.3	8307.2	4382.2	4086.2
Ddx21	504.1	393.2	338	576.5	418.9	236.1	344.6	360.4	291.6	344.3
Mia2	5504	5254.6	4522.6	7068.5	5579.3	3378	4184	6427.9	3945.1	4862.2
Slmap	570.5	535.3	311.6	743.2	403.9	297	395	621.3	398.4	334.7
Stx5a	159.3	145.7	130.4	178.5	160.9	79.8	148.8	131.1	96	141.4
Ndufa7	2703.2	2661.1	2244	3503.8	2327.9	1516	2080.3	3142.7	1852.5	2067.4
Mbl2	2672.9	2186.8	2052.2	3548.3	2462.2	1406.5	1888.4	2888.3	1769.5	2278.5
Hbb-bs	2803.3	3273.8	1557.2	3903.5	2461.2	2259.8	2234.6	3287.3	1972	1957.5
Senp7	170.7	153.8	143.3	170.3	158	96.3	165.5	130.1	106.1	137.4
Them4	435.5	506.1	367.2	367.9	501.6	287.2	352.7	332.9	310.8	336.5
Ndufv2	4727.1	4788.9	3249	6654	3854.3	2582.4	3551.8	6251.8	3253.3	2923.5
Tspan31	293.3	269.7	265.8	354.9	267.1	153.3	234.8	327	210.3	236.6
H2-K1	225.6	247	178.3	324.2	243.1	139.6	173.9	267.6	164.1	160.6
Pttg1ip	416.6	355.1	272.4	478.6	414.6	237.6	316.9	551.2	247.6	408.4
Pnn	1013.1	865.5	745.6	1118.8	937.6	564.9	785	765.5	618	830.7
Atp5pf	4544.2	4590.7	3361.1	6232.7	3761.2	2600.2	3295.8	4890.6	3037.5	3465.9
Atp5pd	7296.9	7374.1	5441.1	9074.8	5897.1	4072	5491.2	8165.7	4844.7	5475.6
Nolc1	2205.4	1655.9	1484.3	2218.7	1714.2	1010.4	1665.7	1063.3	1251.2	1569.4
Ndufs8	4545.6	4589.5	3619.2	6700.4	4419.7	2492.2	3569.1	5456.5	3045	3742.4
Bsg	1446.2	1221.9	1137.9	1770.9	1416.7	825.2	1144.2	1488.6	922.8	1399.5
Top2b	416.7	404.8	356.3	507.8	408	245.3	335.1	308.7	307.6	338
Mycbp	979	1162.4	903.4	1359.6	1086	611.3	809	1378.5	784.5	963.9
Ifih1	150.4	128	108.3	183.6	152.5	94.2	117.3	127.7	110.4	135
Ppp2r5d	149.9	191.3	145.4	182.1	113.5	79.1	100.4	152.7	155.7	106.1
Pea15	156.1	159.2	103	194.1	136.3	82.2	149.7	142.6	96.3	103.2
Cd163	66.5	59.9	35.7	76.9	36.2	28.7	37.7	54.9	40.5	60.9
Hdgf	2272.9	2645.4	1674.5	2916.5	2390.4	1322	1942.3	3142.3	1569	1920.3
Snx9	379.4	373.4	289.4	462.5	415.6	216.8	288.2	357.4	279.3	400.9
Txn2	916.2	836.8	635.3	1207.2	840.3	494.5	684.1	1060.9	497.5	689.2
Nop16	576.2	570.6	471.3	715.7	579.5	334	471.8	668.1	411.5	475
Hspb1	307.7	367	397.4	498.2	424.7	270.3	302.4	377.6	262.1	289
Des	94.7	90.3	45.4	109.9	81.7	54.7	58.2	95.6	54.4	58.8
Cmc1	371.3	337	271.5	488	342.4	212.6	267	407.3	240.5	306
Thyn1	296.7	301.3	208	342.6	303.8	171.8	230.5	395.9	205.9	267.6
Steep1	27.6	27.3	21.5	35.1	30	17.5	21.9	23.5	24.5	19.7
Atp5f1d	2712.3	2658.1	1906.9	3509.7	2219.4	1532.2	2005.8	3140	1632.6	2020.8
Cetn3	111.6	110.8	76.9	149.5	119.7	65.3	82.2	148.6	83.2	102.4
Hebp1	2504.4	3476	2541	3980.4	3076.9	1551.9	2734	3186.4	2267.7	2069.1
Rin3	38.2	42.5	32.4	54.1	44.2	27.7	32.1	28.2	29	37.7
Cd151	278.4	264.9	241.5	312.5	231.6	144.9	208	287.8	190.3	237.7
Psme3ip1	33	46.2	29.5	54.8	49.5	26.7	30	51	26.7	40.4
Fxn	643.9	704.8	519.8	868.1	617.9	407.5	505.5	777.2	481.2	496.9
Plin4	108.1	108.9	94.2	141.7	98.3	64.4	56.3	97.5	101.8	181.7
Tma7	505.2	550.4	424.2	620.3	551.7	318.3	420.1	676.5	366.1	511.6
Parp1	580.3	461.8	403	580.6	520.9	300.2	413	420.9	327.6	457.1
Lrpap1	2831.6	2870.8	2253.7	3582.2	2679.3	1653.1	2099	3339.9	1984.2	2294.3
Icam1	425.8	387.4	277.8	446.7	331.4	228.8	272.4	385.9	217.6	255
Ndufs4	3784.5	3717.4	2880.4	5706.8	3311.5	2045.8	2837	4619.6	2269.3	2774.7
S100a13	1193	1270.2	750.9	1355.9	949.5	651.8	923.2	2096	773.6	922.4
Golim4	99.9	107.4	73.8	126.4	93	61.3	71.6	114.2	73.8	84.8
Bcl9l	106	103.8	88	127.4	106.2	66.1	84	146.1	70.2	80.9
Rcn2	440.6	493.1	321.9	552.6	401.6	275.6	368.4	528.3	319.9	366.7
Sirt3	55.8	54.4	39.2	68	55.1	34.7	45.5	48.1	37.1	40.6
Psmd9	1050.4	1261	940.7	1436	1281.5	708.8	921	1310.6	868.9	1153.6
Pex13	215.8	216.6	310.1	452.2	269	169.5	205.9	233.2	216.3	231.4
Bloc1s3	126.9	131.1	120.8	171.4	146.9	88.4	111.2	151.1	104.5	127.9
Lsm3	417	483.3	310.8	525.7	429.5	258.9	355.9	565.2	312.1	368.2
Triap1	513.8	483.9	386.2	633.2	429.9	261.6	366.6	579.9	334.4	448.3
Nsmce3	30.9	19.2	22.8	27.1	22.1	14.1	18.1	35	15.6	20.3
H2-L	117.6	172.8	95.8	216	157.4	90.7	130.6	175	105.6	119.3
Triobp	493.5	526.2	341.5	645.9	518.3	309.9	406	582.3	372.6	421.1
Chchd4	441.6	349.2	232.5	636.8	378.2	231.7	313.8	446.6	252.4	298
Ctdp1	78.6	74.7	72.1	90.3	78.7	43.5	60.4	70.9	59.2	77
Cgnl1	1192.9	1100.1	953.7	1565.7	1226	747.2	901.5	1116.6	902.3	1015.7
Lnpep	18.7	23.5	21.1	29.9	23	12.7	18.9	20.7	18	22.4
	85.4	90.3	59.7	105.6	89.5	51.4	63.8	101.6	64.7	85.7
Cyb5a	3885.6	3995.1	3096.8	4624.1	3753.3	2297.8	3121.2	4848.5	2786.3	3495.1
Calhm6	110.7	66.1	52.9	83.2	40.8	59.8	51.1	63.4	43.1	42.9
Usp16	411.5	403.5	302.5	512.6	444.2	246.5	366.5	375.8	301.4	374.2
Pcbd2	1773.9	1979.5	1636.4	2331.4	1766.2	1042.1	1526.1	2547.9	1309.6	1644.6
Kgd4	259.4	243.6	181.9	325.9	217.8	145.1	170.2	263.6	141.4	162.2
IGL@	205.3	186.8	156	308.6	152	109.2	214.6	311.2	134.1	130.3
Lrba	46.6	45.5	41.2	51	58	29.8	39	42.6	41.1	52.7
Oxld1	239.4	216.9	162.1	295.8	185.9	127.5	159	276.3	129.4	184.8
Ppan	106	113.7	93.3	138.6	122.8	80.4	95.7	81.9	81.3	77
Ncl	14081.1	15970.4	10758.4	16715.2	14378.4	7910.5	11893.6	17050.6	10429.7	12754.2
Uqcrh	1790.6	1578.2	1324.3	2462.8	1628.2	941.6	1359.8	2159.4	1096	1407.3
H2-D1	2937.8	2775.7	2047.9	3920.3	2691.3	1737.7	2248	3176.1	1827	1893.3
Chmp4b	850	862.5	656.1	1155.7	828.2	498.3	692	1110	611.1	783.7
	2321.3	2545.8	1731.9	3576.7	2025.1	1284.1	2135.5	3760.4	1707.2	1694.1
Rmdn3	4990.4	4455.9	3843.7	6090.8	3970.1	2724.1	3549.1	5649	3356	3798.2
Gatd3	2639.9	2246.8	2311.4	2709.1	2514.2	1601.3	2090.7	2291.3	1754.6	2067.9
Timm8a1	1986.7	1994.4	1503.9	2486.1	1724.5	1176.1	1428.9	2226.2	1169.2	1583.1
Mybbp1a	1268.5	1165.2	978.6	1440.1	1226.6	737.6	1081.4	1042	894.4	1127.3
Fcho2	714.4	629.1	519.3	815.7	650	406	544.1	682.2	466	504.3
Ewsr1	1257.6	1331.6	1043.7	1712.5	1441.1	811.5	1006.8	1258.9	837.9	1283.4
Anxa3	190.7	189.9	105.5	237.8	149.2	112.4	135.8	257	132.5	114.2
Mecp2	434.3	397	255.6	484.1	324.3	234.5	350.2	479.5	231.8	262.4
Mtrex	494.2	455.2	395.1	562.2	488	296	455	400.1	334.3	419.1
Txndc17	776.5	964.5	651.1	1064.2	864.8	514	675.9	1074.7	652.2	792.6
Znf512	64	67.4	67.4	86.8	72.5	44.6	58.6	65.1	54.2	57.6
Clec2d	220.6	211.3	151.3	257.1	219.6	122	174.3	265.7	160.1	172.6
Cic	112.8	118.3	72.8	163.3	98.9	49.9	90.4	146.8	88.9	79.3
Atox1	728.9	636.9	507.2	1094.6	657.5	390	551.8	1006.8	470.6	676.5
Prg4	131.5	153.6	100.6	186	156.1	90.9	104.5	153.7	107.3	126.7
	212.3	162.2	130.7	291.6	174.2	84.7	146.3	232.6	107.2	155.3
Tgoln1	1370.6	1257.5	1074.4	1795	1293	764.1	1085.9	1499	902	1106.2
Os9	148.5	145	96.2	179	145	88.6	121.8	136.1	115.8	105.1
Mix23	1949.7	1865.8	1404.7	2326.8	1424.6	1075.9	1663.8	2605.9	1260.8	1252
Manba	45.9	41.8	46	58.3	56.7	28.9	38.1	43.8	39.2	45.8
Las1l	41.6	39.2	32.6	51.4	42.7	29.7	33.3	32.6	31.8	42.4
Kng2	287.6	310.7	215.5	386	313.4	164.9	244.7	297.5	198.5	225.3
Cyb5b	2360.9	2277.2	1799.2	3640.2	2716.1	1499.3	2009.9	2842.3	1783	2112.4
Szrd1	186.5	201.2	149.5	237.6	216.1	116.2	158.9	233.3	142.9	195.3
Uqcrb	7804.7	7540.7	5971.4	9858.9	7022.4	4506.7	5733.6	8582	5084	6056.5
Rpl39	183	167.8	138.1	171.6	182.2	98.9	122.8	146.6	145.1	137.8
Dhx29	78.2	74.4	71.7	96.1	90.1	50.9	66.7	68.9	70.5	80.1
Zc3h18	345.7	362.4	242.7	394	346.8	215.5	263.9	308.1	213.7	304.4
Mia3	8652.2	8423.5	7036.7	10935.8	8571.7	5493.6	6768.5	9713.8	6508.4	7600.7
